Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
;;;;;;;Playing Time;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Expected;Expected;Expected;Expected;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;;-additional
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;xG;npxG;xAG;npxG+xAG;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;-9999
64;Dominic Calvert-Lewin;eng ENG;FW;Everton;25-224;1997;4;2;189;2.1;1;0;1;0;0;1;0;0.48;0.00;0.48;0.48;0.48;0.5;0.5;0.0;0.5;0.22;0.00;0.22;0.22;0.22;Matches;59e6e5bf
65;Chem Campbell;wls WAL;MFFW;Wolves;19-300;2002;5;0;74;0.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.10;0.00;0.10;0.10;0.10;Matches;6f711f67
66;João Cancelo;pt POR;DF;Manchester City;28-152;1994;11;11;916;10.2;2;1;2;0;0;2;0;0.20;0.10;0.29;0.20;0.29;0.4;0.4;0.7;1.1;0.04;0.06;0.11;0.04;0.11;Matches;bd6351cd
67;Sergi Canós;es ESP;DFFW;Brentford;25-266;1997;2;0;56;0.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.06;0.06;0.00;0.06;Matches;1137759d
68;Diego Carlos;br BRA;DF;Aston Villa;29-225;1993;2;2;179;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.0;0.4;0.18;0.00;0.18;0.18;0.18;Matches;b4a014b1
69;Fabio Carvalho;pt POR;MFFW;Liverpool;20-057;2002;10;4;333;3.7;2;0;2;0;0;0;0;0.54;0.00;0.54;0.54;0.54;1.1;1.1;0.1;1.2;0.30;0.02;0.32;0.30;0.32;Matches;966e28d0
70;Casemiro;br BRA;MF;Manchester Utd;30-245;1992;8;4;442;4.9;1;1;1;0;0;2;0;0.20;0.20;0.41;0.20;0.41;0.5;0.5;0.8;1.3;0.09;0.17;0.26;0.09;0.26;Matches;4d224fe8
71;Matty Cash;pl POL;DF;Aston Villa;25-080;1997;10;9;780;8.7;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.4;0.6;0.02;0.05;0.07;0.02;0.07;Matches;2389cdc2
72;Timothy Castagne;be BEL;DF;Leicester City;26-325;1995;11;10;921;10.2;1;2;1;0;0;0;0;0.10;0.20;0.29;0.10;0.29;0.9;0.9;1.1;2.0;0.09;0.11;0.20;0.09;0.20;Matches;197640fd
73;Jonny Castro;es ESP;DF;Wolves;28-237;1994;11;11;934;10.4;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.3;0.6;0.02;0.03;0.05;0.02;0.05;Matches;e28868f3
