Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
;;;;;;;Playing Time;Playing Time;Playing Time;Playing Time;Performance;Performance;Performance;Performance;Performance;Performance;Performance;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Expected;Expected;Expected;Expected;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;Per 90 Minutes;;-additional
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G-PK;PK;PKatt;CrdY;CrdR;Gls;Ast;G+A;G-PK;G+A-PK;xG;npxG;xAG;npxG+xAG;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches;-9999
312;Lewis O'Brien;eng ENG;MF;Nott'ham Forest;24-012;1998;8;6;485;5.4;1;0;1;0;0;2;0;0.19;0.00;0.19;0.19;0.19;0.3;0.3;0.2;0.5;0.05;0.04;0.09;0.05;0.09;Matches;089667a5
313;Martin Ødegaard;no NOR;MF;Arsenal;23-313;1998;10;10;808;9.0;3;2;3;0;0;2;0;0.33;0.22;0.56;0.33;0.56;2.3;2.3;1.7;4.1;0.26;0.19;0.45;0.26;0.45;Matches;79300479
314;Angelo Ogbonna;it ITA;DF;West Ham;34-156;1988;2;0;27;0.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.00;0.39;0.39;0.00;0.39;Matches;74b2cd7e
315;Michael Olise;fr FRA;MFFW;Crystal Palace;20-318;2001;10;5;489;5.4;0;2;0;0;0;1;0;0.00;0.37;0.37;0.00;0.37;0.5;0.5;1.3;1.8;0.10;0.24;0.33;0.10;0.33;Matches;c4486bac
316;Amadou Onana;be BEL;MF;Everton;21-071;2001;11;9;811;9.0;0;1;0;0;0;3;0;0.00;0.11;0.11;0.00;0.11;1.6;1.6;0.9;2.5;0.17;0.10;0.27;0.17;0.27;Matches;828657ff
317;Josh Onomah;eng ENG;MF;Fulham;25-182;1997;1;0;14;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;6612cd8c
318;Frank Onyeka;ng NGA;MF;Brentford;24-298;1998;9;3;303;3.4;0;1;0;0;0;0;0;0.00;0.30;0.30;0.00;0.30;0.3;0.3;0.5;0.7;0.07;0.14;0.21;0.07;0.21;Matches;2944f86f
319;Alex Oxlade-Chamberlain;eng ENG;FW;Liverpool;29-072;1993;1;0;15;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;38c7feef
320;João Palhinha;pt POR;MF;Fulham;27-109;1995;11;11;981;10.9;2;0;2;0;0;5;0;0.18;0.00;0.18;0.18;0.18;0.7;0.7;0.0;0.7;0.07;0.00;0.07;0.07;0.07;Matches;a78ff07f
321;Cole Palmer;eng ENG;MF;Manchester City;20-173;2002;7;0;106;1.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.2;0.06;0.07;0.14;0.06;0.14;Matches;dc7f8a28
322;Emerson Palmieri;it ITA;DFMF;West Ham;28-084;1994;7;3;224;2.5;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.02;0.01;0.03;0.02;0.03;Matches;e0bc6fdc
323;Lucas Paquetá;br BRA;MFFW;West Ham;25-060;1997;6;5;408;4.5;0;1;0;0;0;1;0;0.00;0.22;0.22;0.00;0.22;0.9;0.9;0.6;1.5;0.19;0.13;0.32;0.19;0.32;Matches;9b6f7fd5
324;Thomas Partey;gh GHA;MF;Arsenal;29-135;1993;8;8;689;7.7;1;0;1;0;0;0;0;0.13;0.00;0.13;0.13;0.13;0.5;0.5;0.3;0.9;0.07;0.04;0.11;0.07;0.11;Matches;529f49ab
325;Nathan Patterson;sct SCO;DFMF;Everton;21-010;2001;7;7;630;7.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.3;0.7;0.05;0.04;0.09;0.05;0.09;Matches;230f0471
326;Ben Pearson;eng ENG;MF;Bournemouth;27-295;1995;4;3;211;2.3;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.01;0.00;0.01;0.01;0.01;Matches;a6b461e7
327;Andreas Pereira;br BRA;MF;Fulham;26-298;1996;12;12;988;11.0;1;4;1;0;0;2;0;0.09;0.36;0.46;0.09;0.46;1.4;1.4;2.2;3.6;0.13;0.20;0.32;0.13;0.32;Matches;6639e500
328;Ayoze Pérez;es ESP;MF;Leicester City;29-089;1993;4;1;126;1.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.6;1.0;0.25;0.46;0.71;0.25;0.71;Matches;819aa8e7
329;Ivan Perišić;hr CRO;DF;Tottenham;33-266;1989;12;7;625;6.9;0;3;0;0;0;2;0;0.00;0.43;0.43;0.00;0.43;0.4;0.4;2.2;2.7;0.06;0.32;0.38;0.06;0.38;Matches;6fe90922
330;Romain Perraud;fr FRA;DF;Southampton;25-034;1997;10;7;598;6.6;1;2;1;0;0;1;0;0.15;0.30;0.45;0.15;0.45;0.4;0.4;1.4;1.7;0.05;0.21;0.26;0.05;0.26;Matches;6dfd8f05
331;Kalvin Phillips;eng ENG;MF;Manchester City;26-328;1995;1;0;2;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;4f565d77
332;Nathaniel Phillips;eng ENG;DF;Liverpool;25-219;1997;1;1;62;0.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.06;0.00;0.06;0.06;0.06;Matches;515ebe8d
333;Jordan Pickford;eng ENG;GK;Everton;28-233;1994;11;11;990;11.0;0;1;0;0;0;3;0;0.00;0.09;0.09;0.00;0.09;0.0;0.0;0.1;0.1;0.00;0.01;0.01;0.00;0.01;Matches;4806ec67
334;Ethan Pinnock;jm JAM;DF;Brentford;29-150;1993;4;4;360;4.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;0.03;0.00;0.03;0.03;0.03;Matches;e541326e
335;Daniel Podence;pt POR;MFFW;Wolves;27-005;1995;12;10;862;9.6;2;0;2;0;0;2;0;0.21;0.00;0.21;0.21;0.21;1.6;1.6;1.4;3.0;0.17;0.14;0.31;0.17;0.31;Matches;7fcc71d8
336;Nick Pope;eng ENG;GK;Newcastle Utd;30-190;1992;12;12;1080;12.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;4b40d9ca
337;Dennis Praet;be BEL;MF;Leicester City;28-165;1994;6;2;200;2.2;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.0;0.2;0.10;0.00;0.10;0.10;0.10;Matches;86695068
338;Christian Pulisic;us USA;FWMF;Chelsea;24-038;1998;10;2;285;3.2;1;1;1;0;0;1;0;0.32;0.32;0.63;0.32;0.63;0.6;0.6;0.4;1.0;0.19;0.12;0.31;0.19;0.31;Matches;1bf33a9a
339;Aaron Ramsdale;eng ENG;GK;Arsenal;24-165;1998;11;11;990;11.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;466fb2c5
340;Jacob Ramsey;eng ENG;MF;Aston Villa;21-151;2001;12;10;833;9.3;1;1;1;0;0;4;0;0.11;0.11;0.22;0.11;0.22;0.8;0.8;1.0;1.8;0.09;0.11;0.19;0.09;0.19;Matches;1544f145
341;Marcus Rashford;eng ENG;FWMF;Manchester Utd;24-360;1997;11;10;856;9.5;3;2;3;0;0;1;0;0.32;0.21;0.53;0.32;0.53;3.3;3.3;1.9;5.2;0.34;0.20;0.55;0.34;0.55;Matches;a1d5bd30
342;David Raya;es ESP;GK;Brentford;27-041;1995;12;12;1080;12.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;98ea5115
343;Tim Ream;us USA;DF;Fulham;35-021;1987;12;12;1077;12.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;28b40c9c
344;Nathan Redmond;eng ENG;DF;Southampton;28-234;1994;1;0;1;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;ab651565
345;Harrison Reed;eng ENG;MF;Fulham;27-272;1995;12;12;995;11.1;2;1;2;0;0;4;0;0.18;0.09;0.27;0.18;0.27;0.8;0.8;1.3;2.1;0.07;0.11;0.19;0.07;0.19;Matches;803ae100
346;Bobby Reid;jm JAM;MFDF;Fulham;29-266;1993;12;12;1046;11.6;3;1;3;0;0;4;0;0.26;0.09;0.34;0.26;0.34;2.2;2.2;0.5;2.7;0.19;0.04;0.23;0.19;0.23;Matches;0f7533cd
347;Declan Rice;eng ENG;MF;West Ham;23-285;1999;12;12;1080;12.0;1;1;1;0;1;2;0;0.08;0.08;0.17;0.08;0.17;1.1;0.3;1.7;2.1;0.09;0.14;0.24;0.03;0.17;Matches;1c7012b8
348;Chris Richards;us USA;DF;Crystal Palace;22-212;2000;3;0;47;0.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.3;0.3;0.14;0.49;0.63;0.14;0.63;Matches;0a3d6d2b
349;Richarlison;br BRA;MFFW;Tottenham;25-169;1997;9;4;371;4.1;0;2;0;0;0;2;0;0.00;0.49;0.49;0.00;0.49;1.5;1.5;1.2;2.7;0.36;0.29;0.65;0.36;0.65;Matches;fa031b34
350;Jaïro Riedewald;nl NED;DFMF;Crystal Palace;26-047;1996;2;0;36;0.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;7a1f2c08
351;Matt Ritchie;sct SCO;FW;Newcastle Utd;33-046;1989;1;0;1;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;71ef519e
352;Andrew Robertson;sct SCO;DF;Liverpool;28-229;1994;9;7;596;6.6;0;1;0;0;0;0;0;0.00;0.15;0.15;0.00;0.15;0.3;0.3;1.3;1.5;0.04;0.19;0.23;0.04;0.23;Matches;2e4f5f03
353;Antonee Robinson;us USA;DF;Fulham;25-079;1997;10;10;838;9.3;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.2;0.00;0.02;0.02;0.00;0.02;Matches;289601e6
354;Marc Roca;es ESP;MF;Leeds United;25-334;1996;11;11;810;9.0;1;0;1;0;0;2;0;0.11;0.00;0.11;0.11;0.11;0.8;0.8;0.3;1.1;0.09;0.04;0.12;0.09;0.12;Matches;da27e268
355;Marek Rodák;sk SVK;GK;Fulham;25-317;1996;2;2;180;2.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;17acc2ed
356;Rodri;es ESP;MF;Manchester City;26-126;1996;10;10;852;9.5;0;3;0;0;0;1;0;0.00;0.32;0.32;0.00;0.32;0.6;0.6;0.7;1.3;0.07;0.07;0.14;0.07;0.14;Matches;6434f10d
357;Rodrigo;es ESP;FWMF;Leeds United;31-234;1991;10;9;667;7.4;5;1;5;0;0;1;0;0.67;0.13;0.81;0.67;0.81;3.3;3.3;1.0;4.3;0.45;0.14;0.59;0.45;0.59;Matches;1fb1c435
358;Mads Roerslev;dk DEN;DF;Brentford;23-124;1999;4;3;245;2.7;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.5;0.6;0.03;0.19;0.23;0.03;0.23;Matches;57c94db2
359;Cristian Romero;ar ARG;DF;Tottenham;24-182;1998;8;7;658;7.3;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.3;1.0;0.09;0.05;0.13;0.09;0.13;Matches;a3d94a58
360;Oriol Romeu;es ESP;MF;Southampton;31-032;1991;1;1;74;0.8;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;4b511457
361;Cristiano Ronaldo;pt POR;FW;Manchester Utd;37-263;1985;8;2;345;3.8;1;0;1;0;0;1;0;0.26;0.00;0.26;0.26;0.26;1.2;1.2;0.4;1.7;0.32;0.11;0.43;0.32;0.43;Matches;dea698d9
362;Salomón Rondón;ve VEN;FW;Everton;33-040;1989;7;1;109;1.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.8;0.8;0.2;1.0;0.66;0.13;0.79;0.66;0.79;Matches;b318a643
363;Joe Rothwell;eng ENG;MF;Bournemouth;27-288;1995;1;0;14;0.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;10a10454
364;José Sá;pt POR;GK;Wolves;29-282;1993;12;12;1080;12.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;903b6e8b
365;Allan Saint-Maximin;fr FRA;FW;Newcastle Utd;25-228;1997;5;4;355;3.9;1;2;1;0;0;1;0;0.25;0.51;0.76;0.25;0.76;0.8;0.8;1.1;2.0;0.21;0.29;0.50;0.21;0.50;Matches;2b16cb1a
366;Bukayo Saka;eng ENG;MFFW;Arsenal;21-051;2001;11;11;966;10.7;4;4;3;1;1;2;0;0.37;0.37;0.75;0.28;0.65;4.2;3.5;1.6;5.1;0.39;0.15;0.54;0.33;0.48;Matches;bc7dc64d
367;Mohamed Salah;eg EGY;FWMF;Liverpool;30-133;1992;11;11;967;10.7;3;3;3;0;0;0;0;0.28;0.28;0.56;0.28;0.56;4.7;4.7;2.0;6.8;0.44;0.19;0.63;0.44;0.63;Matches;e342ad68
368;William Saliba;fr FRA;DF;Arsenal;21-216;2001;11;11;990;11.0;2;1;2;0;0;4;0;0.18;0.09;0.27;0.18;0.27;0.3;0.3;0.8;1.2;0.03;0.07;0.11;0.03;0.11;Matches;972aeb2a
369;Mohammed Salisu;gh GHA;DF;Southampton;23-192;1999;11;11;990;11.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.0;0.4;0.03;0.00;0.03;0.03;0.03;Matches;0b33f6ad
370;Albert Sambi Lokonga;be BEL;MF;Arsenal;23-004;1999;6;2;198;2.2;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.01;0.01;0.00;0.01;Matches;1b4f1169
371;Davinson Sánchez;co COL;DF;Tottenham;26-136;1996;8;5;441;4.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.1;0.4;0.06;0.02;0.08;0.06;0.08;Matches;da7b447d
372;Robert Sánchez;es ESP;GK;Brighton;24-342;1997;11;11;990;11.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;6a713852
373;Jadon Sancho;eng ENG;MFFW;Manchester Utd;22-215;2000;10;10;714;7.9;2;1;2;0;0;0;0;0.25;0.13;0.38;0.25;0.38;1.6;1.6;0.8;2.5;0.21;0.11;0.31;0.21;0.31;Matches;dbf053da
374;Jeremy Sarmiento;ec ECU;MF;Brighton;20-132;2002;1;0;4;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;ac0d576d
375;Gianluca Scamacca;it ITA;FW;West Ham;23-298;1999;10;6;564;6.3;2;0;2;0;0;1;0;0.32;0.00;0.32;0.32;0.32;1.7;1.7;0.5;2.2;0.28;0.08;0.36;0.28;0.36;Matches;8790f988
376;Fabian Schär;ch SUI;DF;Newcastle Utd;30-310;1991;11;11;981;10.9;1;0;1;0;0;4;0;0.09;0.00;0.09;0.09;0.09;0.9;0.9;0.3;1.2;0.08;0.03;0.11;0.08;0.11;Matches;c8aa95da
377;Jeffrey Schlupp;gh GHA;MF;Crystal Palace;29-307;1992;11;9;824;9.2;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.7;0.7;0.2;0.9;0.08;0.02;0.10;0.08;0.10;Matches;3312f911
378;Nélson Semedo;pt POR;DF;Wolves;28-344;1993;10;5;474;5.3;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.2;0.01;0.03;0.04;0.01;0.04;Matches;d04b94db
379;Marcos Senesi;ar ARG;DF;Bournemouth;25-169;1997;9;8;672;7.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.1;0.2;0.02;0.01;0.03;0.02;0.03;Matches;35141f4c
380;Ryan Sessegnon;eng ENG;DF;Tottenham;22-161;2000;10;6;512;5.7;1;0;1;0;0;2;0;0.18;0.00;0.18;0.18;0.18;1.2;1.2;0.4;1.6;0.21;0.08;0.28;0.21;0.28;Matches;6aa3e78b
381;Luke Shaw;eng ENG;DF;Manchester Utd;27-106;1995;7;6;539;6.0;0;1;0;0;0;2;0;0.00;0.17;0.17;0.00;0.17;0.2;0.2;0.6;0.8;0.03;0.10;0.13;0.03;0.13;Matches;9c94165b
382;Jonjo Shelvey;eng ENG;MF;Newcastle Utd;30-241;1992;1;0;2;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;3727dd3c
383;Bernardo Silva;pt POR;MFFW;Manchester City;28-077;1994;11;9;798;8.9;2;5;2;0;0;0;0;0.23;0.56;0.79;0.23;0.79;1.1;1.1;1.3;2.5;0.13;0.15;0.28;0.13;0.28;Matches;3eb22ec9
384;Thiago Silva;br BRA;DF;Chelsea;38-034;1984;9;9;810;9.0;0;2;0;0;0;1;0;0.00;0.22;0.22;0.00;0.22;0.3;0.3;0.4;0.6;0.03;0.04;0.07;0.03;0.07;Matches;86e7deaf
385;Luis Sinisterra;co COL;MF;Leeds United;23-131;1999;9;6;453;5.0;2;0;2;0;0;3;1;0.40;0.00;0.40;0.40;0.40;1.5;1.5;0.2;1.7;0.29;0.04;0.34;0.29;0.34;Matches;8e16dd48
386;Oliver Skipp;eng ENG;MF;Tottenham;22-040;2000;5;1;85;0.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.2;0.2;0.00;0.24;0.24;0.00;0.24;Matches;6250083a
387;Adam Smith;eng ENG;DF;Bournemouth;31-180;1991;12;12;1035;11.5;0;0;0;0;0;4;0;0.00;0.00;0.00;0.00;0.00;0.4;0.4;0.1;0.5;0.04;0.01;0.05;0.04;0.05;Matches;20b104bc
388;Emile Smith Rowe;eng ENG;MF;Arsenal;22-090;2000;4;0;51;0.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.3;0.4;0.16;0.50;0.66;0.16;0.66;Matches;17695062
389;Dominic Solanke;eng ENG;FWMF;Bournemouth;25-042;1997;10;9;803;8.9;2;3;2;0;0;0;0;0.22;0.34;0.56;0.22;0.56;1.7;1.7;0.8;2.5;0.19;0.09;0.28;0.19;0.28;Matches;e77dc3b2
390;Manor Solomon;il ISR;MF;Fulham;23-094;1999;1;0;25;0.3;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;886f9aac
391;Tomáš Souček;cz CZE;MF;West Ham;27-241;1995;12;12;1080;12.0;1;1;1;0;0;0;0;0.08;0.08;0.17;0.08;0.17;2.2;2.2;0.6;2.9;0.19;0.05;0.24;0.19;0.24;Matches;6613c819
392;Boubakary Soumaré;fr FRA;MF;Leicester City;23-241;1999;9;7;531;5.9;0;0;0;0;0;3;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.1;0.01;0.01;0.01;0.01;0.01;Matches;ae59b359
393;Djed Spence;eng ENG;DFMF;Tottenham;22-078;2000;3;0;4;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.1;0.1;0.0;0.1;1.45;0.00;1.45;1.45;1.45;Matches;9bc9a519
394;Jack Stacey;eng ENG;DFMF;Bournemouth;26-203;1996;5;1;116;1.3;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;558807c0
395;Junior Stanislas;eng ENG;MF;Bournemouth;32-334;1989;3;0;58;0.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.1;0.2;0.06;0.20;0.26;0.06;0.26;Matches;6992791d
396;Jay Stansfield;eng ENG;MF;Fulham;19-336;2002;3;1;87;1.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.1;0.3;0.26;0.09;0.35;0.26;0.35;Matches;b2626673
397;Jack Stephens;eng ENG;MF;Bournemouth;28-272;1994;1;0;1;0.0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;6adbc307
398;Jack Stephens;eng ENG;DF;Southampton;28-272;1994;2;0;46;0.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;6adbc307
399;Raheem Sterling;eng ENG;FWMF;Chelsea;27-322;1994;10;9;798;8.9;3;1;3;0;0;1;0;0.34;0.11;0.45;0.34;0.45;3.0;3.0;1.8;4.8;0.34;0.20;0.54;0.34;0.54;Matches;b400bde0
400;John Stones;eng ENG;DF;Manchester City;28-151;1994;6;5;461;5.1;0;2;0;0;0;1;0;0.00;0.39;0.39;0.00;0.39;0.2;0.2;1.1;1.3;0.05;0.21;0.26;0.05;0.26;Matches;5eecec3d
401;Pascal Struijk;nl NED;DF;Leeds United;23-076;1999;10;10;894;9.9;1;1;1;0;0;2;0;0.10;0.10;0.20;0.10;0.20;0.7;0.7;2.0;2.8;0.07;0.21;0.28;0.07;0.28;Matches;f4d296e4
402;Crysencio Summerville;nl NED;MF;Leeds United;20-361;2001;7;1;204;2.3;1;0;1;0;0;0;0;0.44;0.00;0.44;0.44;0.44;0.4;0.4;0.0;0.5;0.18;0.02;0.20;0.18;0.20;Matches;df04eb4b
403;Sam Surridge;eng ENG;FW;Nott'ham Forest;24-090;1998;6;1;125;1.4;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.1;0.2;0.12;0.04;0.16;0.12;0.16;Matches;b017b770
404;Matt Targett;eng ENG;DF;Newcastle Utd;27-038;1995;8;4;402;4.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.3;0.3;0.00;0.07;0.08;0.00;0.08;Matches;e514ab62
405;James Tarkowski;eng ENG;DF;Everton;29-341;1992;12;12;1080;12.0;0;0;0;0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.6;0.6;0.6;1.2;0.05;0.05;0.10;0.05;0.10;Matches;15ea812b
406;Marcus Tavernier;eng ENG;MFDF;Bournemouth;23-218;1999;12;12;1037;11.5;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.9;0.9;0.7;1.6;0.07;0.06;0.14;0.07;0.14;Matches;5c0da4a4
407;Kenny Tete;nl NED;DF;Fulham;27-017;1995;7;7;603;6.7;0;3;0;0;0;4;0;0.00;0.45;0.45;0.00;0.45;0.1;0.1;0.2;0.3;0.01;0.03;0.04;0.01;0.04;Matches;77d7c96f
408;Luke Thomas;eng ENG;DF;Leicester City;21-138;2001;3;2;183;2.0;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;fc027d02
409;Youri Tielemans;be BEL;MF;Leicester City;25-172;1997;12;11;932;10.4;2;1;1;1;1;1;0;0.19;0.10;0.29;0.10;0.19;1.1;0.3;2.0;2.3;0.10;0.20;0.30;0.03;0.22;Matches;56f7a928
410;Kieran Tierney;sct SCO;DF;Arsenal;25-143;1997;10;3;326;3.6;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.3;0.3;0.1;0.4;0.07;0.03;0.10;0.07;0.10;Matches;fce2302c
411;Harry Toffolo;eng ENG;DF;Nott'ham Forest;27-068;1995;8;6;577;6.4;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.2;0.2;0.4;0.6;0.02;0.07;0.09;0.02;0.09;Matches;a105d46a
412;Takehiro Tomiyasu;jp JPN;DF;Arsenal;23-355;1998;10;3;348;3.9;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.01;0.01;0.00;0.01;Matches;b3af9be1
413;James Tomkins;eng ENG;DF;Crystal Palace;33-211;1989;1;0;48;0.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;e7ca0439
414;Ivan Toney;eng ENG;FW;Brentford;26-224;1996;12;12;1080;12.0;8;2;5;3;3;4;0;0.67;0.17;0.83;0.42;0.58;6.4;4.1;2.3;6.4;0.54;0.19;0.73;0.34;0.53;Matches;e09f279b
415;Adama Traoré;es ESP;MF;Wolves;26-274;1996;9;4;427;4.7;1;0;1;0;0;0;0;0.21;0.00;0.21;0.21;0.21;0.5;0.5;0.7;1.2;0.11;0.15;0.26;0.11;0.26;Matches;9a28eba4
416;Boubacar Traoré;ml MLI;MFDF;Wolves;21-067;2001;5;1;115;1.3;0;0;0;0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;999ceb5f
417;Mark Travers;ie IRL;GK;Bournemouth;23-161;1999;5;4;405;4.5;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.0;0.0;0.0;0.0;0.00;0.00;0.00;0.00;0.00;Matches;fe558029
418;Kieran Trippier;eng ENG;DF;Newcastle Utd;32-037;1990;12;12;1065;11.8;1;1;1;0;0;2;0;0.08;0.08;0.17;0.08;0.17;0.4;0.4;2.2;2.6;0.03;0.19;0.22;0.03;0.22;Matches;21512407
419;Leandro Trossard;be BEL;MFDF;Brighton;27-326;1994;11;11;917;10.2;6;1;6;0;0;1;0;0.59;0.10;0.69;0.59;0.69;2.8;2.8;1.4;4.2;0.27;0.14;0.41;0.27;0.41;Matches;38ceb24a
420;Kostas Tsimikas;gr GRE;DF;Liverpool;26-167;1996;9;4;362;4.0;0;3;0;0;0;1;0;0.00;0.75;0.75;0.00;0.75;0.2;0.2;0.6;0.8;0.06;0.14;0.19;0.06;0.19;Matches;f315ca93
